label,unit,attr,imgType
20M,3,input,none
10M,6,input,none
10F,19,input,none
30M,20,input,none
40M,51,input,none
40F,55,input,none
20F,79,input,none
50M,80,input,none
50F,92,input,none
30F,96,input,none
