label,unit
コーラ,5
ソーダ,6
ジンジャエール,15
メロンソーダ,19
オレンジジュース,53
アップルジュース,65
野菜ジュース,79
紅茶,60
ウーロン茶,102
緑茶,110
カフェオレ,0
乳酸飲料,58
ミネラルウォータ,114
スポーツドリンク,118
