label,unit
室内作業時,70
屋外作業時,19
休憩中,0
室内で遊ぶとき,20
スポーツ時,59
屋外で遊ぶとき,7
車/列車で移動中,54
食事中,117
朝起きたとき,113
夜寝る前,99
宴会やパーティ,3
