label,unit
Coke,5
SodaPop,6
GingerAle,15
MelonSoda,19
OrangeJuice,53
AppleJuice,65
VegetableJuice,79
BlackTea,60
OolongTea,102
GreenTea,110
CaféAuLait,0
LacticDrink,58
MineralWater,114
IsotonicDrink,118
