label,unit
Desk-workTime,70
OutdoorWorkTime,19
BreakTime,0
IndoorPlaytime,20
ExerciseTime,59
OutdoorPlaytime,7
InTheCar/Train,54
AtLunch,117
Awakening,113
BedTime,99
PartyTime,3
